qseqid	gene	protein_name	uniprot_acc	organism	Function	niche_module	concise_function	floodplain_vs_upland_interpretation	region_ID	region_chr	region_start	region_end	gene_chr	gene_start	gene_end	gene_strand
g20119	CDKG-2	Cyclin-dependent kinase G-2	Q7XUF4	Oryza sativa subsp. japonica	NA	NA	NA	NA	5_42345000	Chr_5	42340000	42350000	Chr_5	42347950	42349686	+
g20122	PCMP-H40	Pentatricopeptide repeat-containing protein At1g11290, chloroplastic	Q3E6Q1	Arabidopsis thaliana	Involved in multiple sites RNA editing events in chloroplasts. Involved in the editing of the site 7 of ndhB (ndhB-7) and site 5 of ndhD (ndhD-5) transcripts, which are two plastid-encoded subunits of the chloroplast NAD(P)H dehydrogenase (NDH) complex. Involved in the editing of the site 3 of rpoB (rpoB-3) transcript. Required for the activity of the NDH complex of the photosynthetic electron transport chain. Possesses low endoribonuclease activity in vitro. {ECO:0000269|PubMed:19182104}.	Photosynthesis_ETC	Chloroplast PPR protein controlling RNA editing of NDH and rpoB, affecting NDH activity.	Candidate for divergent tuning of cyclic electron flow and photoprotection under fluctuating light and redox conditions in floodplain vs upland sites.	5_42365000	Chr_5	42360000	42370000	Chr_5	42360096	42360350	+
g20123	4CLL9	4-coumarate--CoA ligase-like 9	Q84P23	Arabidopsis thaliana	Contributes to jasmonic acid biosynthesis by initiating the beta-oxidative chain shortening of its precursors (PubMed:15677481, PubMed:18267944). Converts 12-oxo-phytodienoic acid (OPDA) into OPDA-CoA (PubMed:15677481, PubMed:18267944). Follows a two-step reaction mechanism, wherein the carboxylate substrate first undergoes adenylation by ATP, followed by a thioesterification in the presence of CoA to yield the final CoA thioester (By similarity). {ECO:0000250|UniProtKB:O24146, ECO:0000269|PubMed:15677481, ECO:0000269|PubMed:18267944}.	NA	NA	NA	5_42365000	Chr_5	42360000	42370000	Chr_5	42360962	42364300	-
g20124	4CLL9	4-coumarate--CoA ligase-like 9	Q84P23	Arabidopsis thaliana	Contributes to jasmonic acid biosynthesis by initiating the beta-oxidative chain shortening of its precursors (PubMed:15677481, PubMed:18267944). Converts 12-oxo-phytodienoic acid (OPDA) into OPDA-CoA (PubMed:15677481, PubMed:18267944). Follows a two-step reaction mechanism, wherein the carboxylate substrate first undergoes adenylation by ATP, followed by a thioesterification in the presence of CoA to yield the final CoA thioester (By similarity). {ECO:0000250|UniProtKB:O24146, ECO:0000269|PubMed:15677481, ECO:0000269|PubMed:18267944}.	NA	NA	NA	5_42365000	Chr_5	42360000	42370000	Chr_5	42366919	42378056	-
g20124	4CLL9	4-coumarate--CoA ligase-like 9	Q84P23	Arabidopsis thaliana	Contributes to jasmonic acid biosynthesis by initiating the beta-oxidative chain shortening of its precursors (PubMed:15677481, PubMed:18267944). Converts 12-oxo-phytodienoic acid (OPDA) into OPDA-CoA (PubMed:15677481, PubMed:18267944). Follows a two-step reaction mechanism, wherein the carboxylate substrate first undergoes adenylation by ATP, followed by a thioesterification in the presence of CoA to yield the final CoA thioester (By similarity). {ECO:0000250|UniProtKB:O24146, ECO:0000269|PubMed:15677481, ECO:0000269|PubMed:18267944}.	NA	NA	NA	5_42375000	Chr_5	42370000	42380000	Chr_5	42366919	42378056	-
g22695	CAD1	Probable cinnamyl alcohol dehydrogenase 1	P42495	Aralia cordata	Involved in lignin biosynthesis. Catalyzes the final step specific for the production of lignin monomers. Catalyzes the NADPH-dependent reduction of coniferaldehyde, 5-hydroxyconiferaldehyde, sinapaldehyde, 4-coumaraldehyde and caffeyl aldehyde to their respective alcohols. {ECO:0000250|UniProtKB:O49482}.	Structure_CellWall	Lignin-pathway enzyme producing monolignol alcohols for cell wall strengthening.	Strong candidate for differences in stem strength and flexibility under hydraulic disturbance in floodplains versus wind/competition in uplands.	6_28655000	Chr_6	28650000	28660000	Chr_6	28649295	28651182	+
g22696	DDB_G0292320	Protein unc-50 homolog	Q54DD7	Dictyostelium discoideum	NA	NA	NA	NA	6_28655000	Chr_6	28650000	28660000	Chr_6	28659934	28665483	-
g22696	DDB_G0292320	Protein unc-50 homolog	Q54DD7	Dictyostelium discoideum	NA	NA	NA	NA	6_28665000	Chr_6	28660000	28670000	Chr_6	28659934	28665483	-
g22697	At3g47200	UPF0481 protein At3g47200	Q9SD53	Arabidopsis thaliana	NA	NA	NA	NA	6_28665000	Chr_6	28660000	28670000	Chr_6	28668296	28669576	-
g24468	MFSD12	Major facilitator superfamily domain-containing protein 12	Q6NUT3	Homo sapiens	Transporter that mediates the import of cysteine into melanosomes, thereby regulating skin pigmentation (PubMed:33208952, PubMed:37751742). In melanosomes, cysteine import is required both for normal levels of cystine, the oxidized dimer of cysteine, and provide cysteine for the production of the cysteinyldopas used in pheomelanin synthesis, thereby regulating skin pigmentation (PubMed:33208952). Also catalyzes import of cysteine into lysosomes in non-pigmented cells, regulating lysosomal cystine and cysteine storage, which is essnetial for redox homeostasis (PubMed:33208952, PubMed:37751742). {ECO:0000269|PubMed:33208952, ECO:0000269|PubMed:37751742}.	NA	NA	NA	6_46765000	Chr_6	46760000	46770000	Chr_6	46759005	46766392	+
g24470	PP2A	Serine/threonine-protein phosphatase PP2A catalytic subunit	Q06009	Medicago sativa	May play a role in cell cycle regulation.	NA	NA	NA	6_46775000	Chr_6	46770000	46780000	Chr_6	46774665	46778777	+
g24471	At3g49070	UPF0496 protein At3g49070	Q9SMU4	Arabidopsis thaliana	NA	NA	NA	NA	6_46775000	Chr_6	46770000	46780000	Chr_6	46779804	46781171	+
g2481	Xyl2	Beta-xylosidase/alpha-L-arabinofuranosidase 2	A5JTQ3	Medicago sativa subsp. varia	A bifunctional beta-xylosidase/alpha-L-arabinosidase, exo-enzyme that acts synergistically with endohydrolases. Releases xylose and arabinose from cell walls (By similarity). {ECO:0000250}.	Structure_CellWall	Cell-wall hydrolase modifying hemicellulose and arabinoxylan side chains.	May contribute to distinct cell wall mechanics for growth in soft, waterlogged sediment versus denser upland soils.	1_33705000	Chr_1	33700000	33710000	Chr_1	33703104	33709382	-
g25346	PCMP-H59	Pentatricopeptide repeat-containing protein At5g50990	Q9FI49	Arabidopsis thaliana	NA	Photosynthesis_ETC	Chloroplast PPR protein likely involved in organellar RNA processing and electron transport.	May fine-tune chloroplast function and stress tolerance under different flooding, light, and temperature regimes across habitats.	7_4215000	Chr_7	4210000	4220000	Chr_7	4210048	4213587	-
g25347	NRP	DCD domain-containing protein NRP	Q8RXN8	Arabidopsis thaliana	Contributes to the initial phase of responses to abiotic and biotic stress signals (Probable). Binds FYPP3 and facilitates FYPP3 degradation to promote abscisic acid (ABA) response (PubMed:29175650). {ECO:0000269|PubMed:29175650, ECO:0000305|PubMed:28633330}.	Stress_ABA_ROS	Modulator that enhances ABA responses during abiotic and biotic stress.	Variation may reflect contrasting optimal ABA sensitivity between waterlogged floodplains and water-limited upland environments.	7_4215000	Chr_7	4210000	4220000	Chr_7	4216355	4219563	+
g25352	bicc1-a	Protein bicaudal C homolog 1-A	Q9IA00	Xenopus laevis	Putative RNA-binding protein. May be involved in regulating gene expression during embryonic development. Seems to be involved in endoderm formation. Ectopic expression results in endoderm formation in the absence of mesoderm induction. {ECO:0000269|PubMed:10769230}.	NA	NA	NA	7_4285000	Chr_7	4280000	4290000	Chr_7	4284742	4285539	-
g25353	SCD2	Coiled-coil domain-containing protein SCD2	Q8RWD5	Arabidopsis thaliana	Involved in growth and development through its role in cytokinesis and polarized cell expansion. Required for plasma membrane internalization. May function in clathrin-mediated membrane trafficking, including plasma membrane endocytosis, essential to both cytokinesis and cell expansion. {ECO:0000269|PubMed:24179130}.	NA	NA	NA	7_4285000	Chr_7	4280000	4290000	Chr_7	4287307	4297123	-
g26310	At4g08350	Putative transcription elongation factor SPT5 homolog 1	Q9STN3	Arabidopsis thaliana	May regulate transcription elongation by RNA polymerase II. May enhance transcriptional pausing at sites proximal to the promoter, which may in turn facilitate the assembly of an elongation competent RNA polymerase II complex (By similarity). {ECO:0000250}.	NA	NA	NA	7_17465000	Chr_7	17460000	17470000	Chr_7	17458605	17469611	+
g26906	FTIP3	FT-interacting protein 3	Q9M2R0	Arabidopsis thaliana	Required for proliferation and differentiation of shoot stem cells in the shoot apical meristem (SAM), thus determining the appropriate balance between the maintenance of shoot stem cells and their differentiation into other aboveground plant parts via the control of subcellular localization and intercellular trafficking of STM in the shoot apex (PubMed:29742441). Prevents intracellular trafficking of STM to the plasma membrane in cells in the peripheral shoot meristem region thus facilitating STM recycling to the nucleus to maintain stem cells (PubMed:29742441). May function as a signaling molecule by regulating the trafficking of other regulators (PubMed:29259105). {ECO:0000269|PubMed:29742441, ECO:0000303|PubMed:29259105}.	Light_Architecture	Regulator of shoot apical meristem stem-cell balance and shoot architecture.	Likely involved in contrasting branching and shoot forms favored by disturbance-prone floodplains versus more stable upland stands.	7_25815000	Chr_7	25810000	25820000	Chr_7	25815500	25817824	-
g26914	PATL6	Patellin-6	Q9SCU1	Arabidopsis thaliana	Carrier protein that may be involved in membrane-trafficking events associated with cell-plate formation during cytokinesis. Binds to some hydrophobic molecules such as phosphoinositides and promotes their transfer between the different cellular sites (By similarity). {ECO:0000250}.	NA	NA	NA	7_25885000	Chr_7	25880000	25890000	Chr_7	25879132	25880852	-
g26915	STR9	Rhodanese-like domain-containing protein 9, chloroplastic	O48529	Arabidopsis thaliana	NA	NA	NA	NA	7_25885000	Chr_7	25880000	25890000	Chr_7	25884256	25887132	-
g26916	OEP163	Outer envelope pore protein 16-3, chloroplastic/mitochondrial	O48528	Arabidopsis thaliana	Voltage-dependent high-conductance channel with a slight cation-selectivity; selective for amino acids but excludes triosephosphates or uncharged sugars. Non-essential amino acid-selective channel protein and translocation pore for NADPH:protochlorophyllide oxidoreductase A (PORA) and possibly PORB (By similarity). {ECO:0000250}.	NA	NA	NA	7_25885000	Chr_7	25880000	25890000	Chr_7	25887826	25891648	-
g2850	COP1	E3 ubiquitin-protein ligase COP1	P43254	Arabidopsis thaliana	E3 ubiquitin-protein ligase that acts as a repressor of photomorphogenesis and as an activator of etiolation in darkness. E3 ubiquitin ligases accept ubiquitin from an E2 ubiquitin-conjugating enzyme in the form of a thioester and then directly transfers the ubiquitin to targeted substrates. Represses photomorphogenesis in darkness by mediating ubiquitination and subsequent proteasomal degradation of light-induced transcription factors such as HY5, HYH and LAF1. Down-regulates MYB21, probably via ubiquitination process. Light stimuli abrogate the repression of photomorphogenesis, possibly due to its localization to the cytoplasm. Could play a role in switching between skotomorphogenetic and photomorphogenetic pathways. Mediates the ubiquitination-dependent degradation of HY5 in the darkness during seedling development (e.g. hypocotyl growth) (PubMed:26474641). Represses CIP7 in darkness (PubMed:9668129). Triggers ubiquitination and subsequent protein degradation of UNE10/PIF8, PCH1 and PCHL in the dark (PubMed:31732705). {ECO:0000269|PubMed:11967090, ECO:0000269|PubMed:12023303, ECO:0000269|PubMed:26474641, ECO:0000269|PubMed:31732705, ECO:0000269|PubMed:32061894, ECO:0000269|PubMed:9668129}.	Light_Architecture	Master E3 ligase regulator of light signaling and photomorphogenesis.	Could underlie divergent light and shade-avoidance strategies between open, disturbed floodplains and more competitive, shaded uplands.	1_37165000	Chr_1	37160000	37170000	Chr_1	37161445	37170415	+
g30468	At5g60760	P-loop NTPase domain-containing protein LPA1 homolog 1	Q9FJH9	Arabidopsis thaliana	Required for the accumulation of phytic acid in seeds. Phytic acid is the primary storage form of phosphorus in cereal grains and other plant seeds. {ECO:0000269|PubMed:20734061}.	Nutrient_P_N	Regulator of seed phytic acid levels and phosphorus storage.	Supports different seed P storage strategies between nutrient-poor uplands and nutrient-richer, sediment-fed floodplains.	8_28345000	Chr_8	28340000	28350000	Chr_8	28338649	28342757	+
g30915	RPL37B	Large ribosomal subunit protein eL37y	Q43292	Arabidopsis thaliana	Binds to the 23S rRNA. {ECO:0000250}.	NA	NA	NA	8_32825000	Chr_8	32820000	32830000	Chr_8	32821773	32823548	+
g30917	MPV17	Mitochondrial inner membrane protein Mpv17	Q2KIN6	Bos taurus	Non-selective channel that modulates the membrane potential under normal conditions and oxidative stress, and is involved in mitochondrial homeostasis. Involved in mitochondrial deoxynucleoside triphosphates (dNTP) pool homeostasis and mitochondrial DNA (mtDNA) maintenance (By similarity). May be involved in the regulation of reactive oxygen species metabolism and the control of oxidative phosphorylation (By similarity). {ECO:0000250|UniProtKB:P19258, ECO:0000250|UniProtKB:P39210}.	Stress_ABA_ROS	Mitochondrial channel controlling membrane potential, dNTP pools, and ROS homeostasis.	Good candidate for adaptation to repeated hypoxia–reoxygenation cycles in floodplains versus more stable but drier uplands.	8_32825000	Chr_8	32820000	32830000	Chr_8	32825314	32829345	-
g30918	NA	Alpha-latrocrustotoxin-Lt1a (Fragment)	Q9XZC0	Latrodectus tredecimguttatus	Crustacean-selective presynaptic neurotoxin that induces neurotransmitter exocytosis. May bind to crustacean neurexin-1 homolog, adhesion G protein-coupled receptor L1 homolog, and receptor-type tyrosine-protein phosphatase S homolog, and induces neurotransmitter exocytosis both by forming tetrameric pores in membranes and signaling via G protein-coupled receptor (By similarity) (PubMed:34845192). This recombinant protein form channels in artificial membrane bilayers, that are stabilized by calcium ions and allow calcium flux at negative membrane potentials (PubMed:34845192). {ECO:0000250|UniProtKB:P23631, ECO:0000269|PubMed:34845192}.	NA	NA	NA	8_32845000	Chr_8	32840000	32850000	Chr_8	32834433	32840101	+
g30919	ITN1	Ankyrin repeat-containing protein ITN1	Q9C7A2	Arabidopsis thaliana	Involved in salt stress tolerance. May act through abscisic acid (ABA) signaling pathways and promote reactive oxygen species (ROS) production. {ECO:0000269|PubMed:18643991}.	Stress_ABA_ROS	ABA- and ROS-related regulator contributing to salt and osmotic stress tolerance.	May underlie different strategies for dealing with ion/oxidative stress in periodically flooded soils versus drier upland sites.	8_32845000	Chr_8	32840000	32850000	Chr_8	32848547	32851896	+
g31578	At1g31830	Probable polyamine transporter At1g31830	Q9C6S5	Arabidopsis thaliana	Probable cell membrane polyamine/proton symporter involved in the polyamine uptake in cells. {ECO:0000250}.	NA	NA	NA	9_5505000	Chr_9	5500000	5510000	Chr_9	5500996	5510697	+
g3159	MBD10	Methyl-CpG-binding domain-containing protein 10	Q9XI36	Arabidopsis thaliana	Probable transcriptional regulator (By similarity). Required for nucleolar dominance that consist in the silencing of rRNA genes inherited from one progenitor in genetic hybrids. {ECO:0000250, ECO:0000269|PubMed:19061642}.	NA	NA	NA	1_40215000	Chr_1	40210000	40220000	Chr_1	40210797	40213901	+
g3160	At4g02530	Thylakoid lumenal 16.5 kDa protein, chloroplastic	O22773	Arabidopsis thaliana	NA	NA	NA	NA	1_40215000	Chr_1	40210000	40220000	Chr_1	40214455	40216097	-
g31612	PLDZETA1	Phospholipase D zeta 1	Q9LRZ5	Arabidopsis thaliana	Hydrolyzes glycerol-phospholipids at the terminal phosphodiesteric bond to generate phosphatidic acids (PA). Phosphatidylcholine-selective (PubMed:11891260). Regulates root-hair morphogenesis (PubMed:12775839). Contributes to the supply of inorganic phosphorus for cell metabolism and diacylglycerol moieties for galactolipid synthesis in phosphorus-starved roots (PubMed:16891548). Involved in root elongation during phosphate limitation (PubMed:16384909). {ECO:0000269|PubMed:11891260, ECO:0000269|PubMed:12775839, ECO:0000269|PubMed:16384909, ECO:0000269|PubMed:16891548}.	Nutrient_P_N	Phospholipase involved in root-hair development and phosphorus-starvation responses.	May underlie divergent root responses to chronic low P in uplands versus pulsed, flood-driven P inputs in floodplains.	9_5815000	Chr_9	5810000	5820000	Chr_9	5810347	5818528	-
g33467	v1g247787	Glucose-induced degradation protein 8 homolog	A7SWD3	Nematostella vectensis	Core component of the CTLH E3 ubiquitin-protein ligase complex that mediates ubiquitination and subsequent proteasomal degradation of target proteins. Acts as a positive regulator of Wnt signaling pathway by promoting beta-catenin (CTNNB1) nuclear accumulation. {ECO:0000250|UniProtKB:Q9NWU2}.	NA	NA	NA	9_25265000	Chr_9	25260000	25270000	Chr_9	25259212	25262675	-
g33468	RD21B	Probable cysteine protease RD21B	Q9FMH8	Arabidopsis thaliana	Probable thiol protease. {ECO:0000250|UniProtKB:P43297}.	NA	NA	NA	9_25265000	Chr_9	25260000	25270000	Chr_9	25266570	25272873	+
g3862	THO6	THO complex subunit 6	Q8L4M1	Arabidopsis thaliana	Acts as a component of the THO subcomplex of the TREX complex which is thought to couple mRNA transcription, processing and nuclear export. {ECO:0000250}.; FUNCTION: Component of the CUL4-RBX1-DDB1-DWA1/DWA2 E3 ubiquitin-protein ligase complex that acts as a negative regulator in abscisic acid (ABA) signaling. May function as the substrate recognition module within this complex leading to ABI5 degradation. Functionally redundant with DWA2. {ECO:0000269|PubMed:20525848}.	Stress_ABA_ROS	mRNA-processing and export factor that also helps repress ABA signaling via an E3 ligase complex.	May tune balance between growth and ABA-mediated stress responses differently in floodplain versus upland populations.	1_46845000	Chr_1	46840000	46850000	Chr_1	46839537	46843583	-
g3863	At1g72740	Telomere repeat-binding factor 5	F4IEY4	Arabidopsis thaliana	Binds preferentially double-stranded telomeric repeats. {ECO:0000250}.	NA	NA	NA	1_46845000	Chr_1	46840000	46850000	Chr_1	46846637	46848948	-
g5248	At5g39865	Uncharacterized protein At5g39865	Q9FLE8	Arabidopsis thaliana	NA	NA	NA	NA	2_12245000	Chr_2	12240000	12250000	Chr_2	12241320	12242570	+
g5249	PRE6	Transcription factor PRE6	Q8GW32	Arabidopsis thaliana	Atypical and probable non DNA-binding bHLH transcription factor that regulates light-mediated responses in day light conditions by binding and inhibiting the activity of the bHLH transcription factor HFR1, a critical regulator of light signaling and shade avoidance. Forms non-functional heterodimers with HFR1, causing liberation and activation of PIF4 from the transcriptionally inactive HFR1-PIF4 complex. {ECO:0000269|PubMed:16786307, ECO:0000269|PubMed:23224238}.	Light_Architecture	bHLH transcriptional regulator modulating shade-avoidance and light responses.	Supports differentiation in elongation and canopy response strategies associated with different light regimes in floodplain vs upland habitats.	2_12245000	Chr_2	12240000	12250000	Chr_2	12248787	12249768	-
